barcode,color
Stv_3,[0]
Stv_4,[1]
Stv_5,[0]
Stv_6,[1]
Stv_7,[0]
Stv_8,[1]
Stv_9,[0]
Stv_10,[1]
Stv_11,[0]
Stv_12,[1]
Stv_13,[0]
Stv_14,[1]
Stv_16,[0]
Stv_19,[1]
Stv_20,[0]
Stv_21,[1]
Stv_22,[0]
Stv_23,[0]
Stv_25,[1]
Stv_26,[0]
Stv_27,[1]
Stv_28,[0]
Stv_29,[1]
Stv_30,[0]
Stv_31,[1]
Stv_32,[0]
Stv_33,[1]
Stv_35,[0]
Stv_36,[1]
Stv_37,[0]
Stv_39,[1]
Stv_40,[0]
Stv_42,[1]
Stv_44,[0]
Stv_45,[1]
Stv_46,[0]
Stv_48,[1]
Stv_50,[0]
Stv_53,[1]
Stv_54,[0]
Stv_59,[1]
Stv_60,[0]
Stv_61,[1]
Stv_63,[0]
Stv_64,[1]
Stv_65,[0]
Stv_86,[1]
Stv_87,[0]
Stv_88,[1]
Stv_90,[0]
Stv_91,[1]
Stv_92,[0]
Stv_94,[1]
Stv_95,[0]
Stv_99,[1]
Stv_100,[0]
Stv_101,[1]
Stv_104,[0]
Stv_105,[1]
Stv_106,[0]
Stv_109,[0]
Stv_119,[0]
Stv_121,[0]
